element_type,osmid,amenity,name,geometry,website,name:en,addr:street,opening_hours,addr:city,addr:postcode,email,grades,name:bn,operator,operator:type,phone,religion,nodes,building,designation,ways,type,ward5wknn,index,points,rank,value
node,2408674333,school,Bangladesh Navy School and College,POINT (91.7802358 22.2911712),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,2581078667,university,East Delta University (EDU),POINT (91.8113974 22.3214969),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,2588776659,college,Chittagong Maa-O-Shishu Hospital Medical College,POINT (91.8061102 22.3231074),http://www.maa-shishu-ctg.org/,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5105441325,school,,POINT (91.7805412 22.2863852),,BEPZA School,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5105452622,school,,POINT (91.7776834 22.282593),,"Anchorage School, Chittagong",,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5136889741,school,Bangladesh Bank Colony High School,POINT (91.8032558 22.3244373),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5136889742,school,Hatey Khari High School & College,POINT (91.8021841 22.3234485),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5539391398,school,Maizpara Gousia Sunnia Dakhil Madrasa,POINT (91.8070705 22.2538937),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5539561961,school,Dail Para Government Primary School,POINT (91.7921041 22.2519249),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5539567610,school,Nazir Para Government Primary School,POINT (91.7984207 22.2444773),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5539640107,school,পতেঙ্গা উচ্চ বিদ্যালয়,POINT (91.790789 22.2600032),,Patenga High School,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5554130008,school,পতেঙ্গা সিটি কর্পোরেশন মহিলা কলেজ,POINT (91.7932567 22.2569103),,Patenga City Corporation Mohila College,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5671274458,school,BAF Shaheen College Chattogram,POINT (91.8144 22.2658562),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5729586214,school,Laldia Char Government Primary School,POINT (91.8295799 22.257471),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5896946986,school,,POINT (91.7819086 22.2807031),,Hazrat Ali Shah (R.) Girls’ School,Madrazi Shah Road,Sa-Th 07:30-16:00,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5896946989,school,,POINT (91.7850141 22.28401),,South Halishahar School,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5896947186,kindergarten,,POINT (91.7819227 22.2816833),,Premiere Ideal School,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,5896947188,college,,POINT (91.7843688 22.2836696),,Math Zone,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,6134243071,college,"Chattogram Port School and College Playground, Port Colony Rd, Chattogram",POINT (91.7946075 22.315244),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,6134400343,school,Ghasful Primary School,POINT (91.791949 22.3208251),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,6134403815,college,Chittagong Bandar Mahila College,POINT (91.7914667 22.3199851),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,7812783695,school,"TSP Complex Secondary School, TSP Colony, Housing Colony Rd, Chattogram",POINT (91.7818617 22.2688677),www.tspschool.edu.bd,,টিএসপি কলোনী সড়ক,,"স্টীলমিল বাজার, পতেঙ্গা",4204,tspschool@yahoo.com,1-10,টিএসপি কমপ্লেক্স সেকেন্ডারী স্কুল,টিএসপি কমপ্লেক্স লিমিটেড,government,+880241350154,multifaith,,,,,,1,1,north,1,16.32
node,11266096441,school,"Port east colony primary school, Port east colony, Chattogram",POINT (91.7942715 22.3238901),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11280734980,school,"G.R.K. Multi High School, Sheikh Mujib Rd, Chattogram",POINT (91.8119431 22.3210418),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11280736580,school,"Sardesshori Sorkari Prathomik Biddaloy, B Nag Lane, Barik Building Moor, Gosaildanga Bandar, Chattogram",POINT (91.8106976 22.3205166),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11280756509,school,"B.C.S.I.R Laboratory High School, Infront of BRTA, Natun Pada, Hathazari Road, Chattogram",POINT (91.8114798 22.3189674),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11290680438,college,"Jarina Mafzal City Corporation College, Port Link Rd, Chattogram",POINT (91.7851724 22.3171444),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11290719431,school,"Halishahar Munshipara High School, Abdul Latif Road, Chattogram",POINT (91.7838422 22.3160791),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11290745615,school,,POINT (91.7859089 22.3151773),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11290760835,college,"Chittagong Port Girls High School & College, Port Connecting Rd, Chattogram",POINT (91.7912046 22.320024),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11290775270,kindergarten,"Sunlit Kindergarten School, Port Link Road, Chattogram",POINT (91.7877727 22.3148892),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11290778871,school,"Shaplakuri kindergarten and High School, Halishahar, Chattogram",POINT (91.7931095 22.3217959),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11290783064,school,"Chittagong Port Handicapped School, Port Connecting Rd, Chattogram",POINT (91.7922857 22.3211118),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11299714605,school,"Niscintapara Primary School, Niscintapara, Chattogram",POINT (91.7873132 22.3082644),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11299714606,school,"Nishcintapara Govt. Primary School, Niscintapara, Chattogram",POINT (91.7875316 22.3081082),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11299743953,school,"Shikor Public School & College, Maiz Para Road, Chattogram",POINT (91.7864783 22.3056586),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11299845373,school,"Holy Kids Grammar School, Jonab Ali Peshkar Road, Maijpara, Chattogram",POINT (91.7879022 22.303562),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11299851989,school,"Halishahar Begumjan High School, South-Middle Halishahar, Chattogram",POINT (91.7889242 22.303317),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11299851990,school,"Begumjan High School, Halisahar, Chattogram",POINT (91.7884629 22.304188),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11301545654,school,"Shabuj Shathi Ideal School, M. A Aziz Road, Chattogram",POINT (91.78681 22.3004624),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11361291270,school,"South City School & College, Sheikh Mujib Road, Agrabad, Chattogram",POINT (91.8145562 22.3232124),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11380818657,school,"Nimtala Nahar Yunus Ideal Kindergarten School, Port Connecting Rd, Chattogram",POINT (91.7962498 22.3164426),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11380836125,school,"United Grammar School, Mokbulia School Road, Nimtala, Chattogram",POINT (91.7996341 22.3151438),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11380951498,college,"Chattogram Port College, Port Connecting Rd, Chattogram",POINT (91.7949405 22.3156237),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11383008344,school,"Nimtala High School, PC Road, Puraba Nimtala, Chattogram",POINT (91.7984737 22.3144659),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11383015493,college,"Port Authority Girls College, Port Colony Rd, Chattogram",POINT (91.7949417 22.314248),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11383039025,school,"Halishahar Moqbulia Govt. Primary School, PC Road, Puraba Nimtala, Chattogram",POINT (91.7988531 22.314433),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11384987350,college,"BN College Building, Zone Office,CEPZ, Chattogram",POINT (91.7801181 22.2907716),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11384987371,school,"Bangladesh Navy School and College, EPZ, Chattogram",POINT (91.7802998 22.2910595),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11384992316,school,"Green View Kinder Garden K.G. School, M. A Aziz Rd, Chattogram",POINT (91.7832157 22.2882202),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11385008539,kindergarten,"HRT Sugar Daddy, M. A Aziz Rd, Chattogram",POINT (91.7832575 22.2868091),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11385044380,school,"AL Hera Islami Academy and Madrasah,Bandartila, BEPZA School and College, Chattogram",POINT (91.7811788 22.2867033),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11385203260,college,"BEPZA Public School & College, Chattogram EPZ, Chattogram",POINT (91.7802646 22.2865395),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11393313847,school,"Matrix Coaching Center, Unnamed Road, Chattogram",POINT (91.782364 22.2840004),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11393314057,school,"Katakhali Ali Shah Government Primary School, M. A Aziz Road, Chattogram",POINT (91.7841646 22.2851195),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11393336731,library,"Saleh Library and Stationery, Bandartilla, M. A Aziz Rd, Chattogram",POINT (91.7841929 22.2858511),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11393367271,kindergarten,"Barnamala Kindergarten (Day Care), Bismillah Bhaban, Sailors Colony 2 Road, Chattogram",POINT (91.7836066 22.2831286),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11393373080,library,"Shah Jabbaria Library and General Store, Navy Hospital Gate ,C.E.P.Z, Chattogram",POINT (91.7842806 22.2829461),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
node,11393383963,school,"Al Hera Islami Academy and Madrasah, BEPZA Residential Area, Chattogram",POINT (91.7774738 22.2845239),,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
